name,province,city,address,phone_number,website
سازمان اسناد و كتابخانه ملی جمهوری اسلامی ایران,تهران,تهران,تهران - بزرگراه شهيد حقانی - بعد از ایستگاه مترو ميرداماد- خروجی كتابخانه ملی.,88644104-021 ( داخلی  ),http://nlai.ir
نمایندگی تهران و البرز - جامعه المصطفی (ص) العالمیه,تهران,تهران,تهران، کریم‌خان زند، سنایی ۸، پلاک۴. دفتر نمایندگی تهران و البرز,۰۲۱۸۸۳۱۹۹۷۹ ( داخلی  ),http://Dlib.miu.ac.ir
کتابخانه ابن سینا (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خیابان پیروزی - میدان چهار صد دستگاه.,33303103-021 ( داخلی  ),http://tlib.ir
کتابخانه اخلاق (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان پيروزي - خيابان شكوفه - خيابان شهيد كاظمي - جنب بوستان گلزار - فرهنگسراي اخلاق,33312303-021 ( داخلی  ),http://tlib.ir
کتابخانه استاد حکیمی (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان يافت آباد - شهرك ولي عصر - انتهاي حيدري جنوبي - خيابان پژاند -  بوستان,66297525-021 ( داخلی  ),http://tlib.ir
کتابخانه استاد معین (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - جاده مخصوص كرج - شهرک وردآورد (كيلومتر۱۹) - بلواراصلي وردآورد، خانه فرهنگ وردآورد.,4498107-021 ( داخلی  ),http://tlib.ir
کتابخانه آفتاب (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - بزرگراه شهید نواب صفوی - ابتدای خیابان کمیل شرقی – فرهنگسرای انقلاب اسلامی.,55408668-021 ( داخلی  ),http://tlib.ir
کتابخانه آفتابگردان (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خیابان دکتر شریعتی - بلوار صبا - بلوار شهید اندرزگو - پارک قیطریه - فرهنگسرای ملل.,55408668-55419057 021-021 ( داخلی  ),http://tlib.ir
کتابخانه امام خمینی (ره) (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان ۱۷ شهريور - خيابان خشكبار چي - بوستان خيام.,333303843-021 ( داخلی  ),http://tlib.ir
کتابخانه امام علی علیه السلام (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خیابان ولیعصر (عج) - روبروي بزرگراه نيايش - بلوار اسفندیار - شماره ۳۵.,22042038-021 ( داخلی  ),http://tlib.ir
کتابخانه امامزاده یحیی ع (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان ری - كوچه آبشار غربی - كوچه شهيد هداوند - خانه فرهنگ امامزاده يحيي - شماره ۷.,33553228-021 ( داخلی  ),http://tlib.ir
کتابخانه امید (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - ميدان نوبنياد- بزرگراه شهيد بابايي- شهرك اميد- مجتمع فرهنگی .,77077175-021 ( داخلی  ),http://tlib.ir
کتابخانه امیر کبیر (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان دکتر شريعتي - نرسيده به ميدان قدس - خيابان برادران واعظي - خيابان قيطريه - ضلع شمال غرب بوستان قيطريه.,22207051-021 ( داخلی  ),http://tlib.ir
کتابخانه انتشارات سمت,تهران,تهران,تهران - بزرگراه جلال آل احمد - غرب پل یادگار امام - روبروی پمپ گاز - سازمان سمت - طبقه اول کتابخانه,44234843-021 ( داخلی  ),http://samt.ac.ir
كتابخانه انجمن آثار و مفاخر فرهنگی,تهران,تهران,تهران- خيابان وليعصر (ع)- پل امير بهادر- خيابان سرگرد بشيرى- شماره 71.,55394852-021 ( داخلی  ),http://anjom.ir
کتابخانه اندیشه (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان دکتر شريعتی - نرسيده به پل سيدخندان - روبروي مخابرات - بوستان هلال احمر - فرهنگسرای اتدیشه.,88739770-021 ( داخلی  ),http://tlib.ir
کتابخانه انقلاب اسلامی (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان كميل - ‌تقاطع بزرگراه شهيد نواب صفوي - فرهنگسراي انقلاب اسلامی.,021-۵۵۴۰۸۶۶۹ ( داخلی  ),http://tlib.ir
کتابخانه آیت الله ايرواني (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان مولوی - نرسيده به چهارراه وحدت اسلامی - كوچه دولت آبادی - كوچه حاج حسن - پلاک جدید ۱.,55893654-021 ( داخلی  ),http://tlib.ir
كتابخانه آيت الله حكيم (ره) (آستان قدس رضوی ع),تهران,تهران,تهران - خیابان دكتر باهنر - حصار بوعلي - خيابان سرتيپ شهيد خلبان رضا سعيدي - پلاك 62 .,22281249-021 ( داخلی  ),http://aqlibrary.ir
کتابخانه آیت الله طالقانی (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خیابان انقلاب اسلامی- پيچ شميران- خيابان تنكابن (نورمحمدي)- كوچه آيت ا... طالقاني (ره).,77526923-021 ( داخلی  ),http://tlib.ir
کتابخانه آیت الله کاشانی (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- خیابان مصطفی خمینی- کوچه سجادی- بن بست شام بیاتی- پلاک ۳۰.,33530695-021 ( داخلی  ),http://tlib.ir
كتابخانه ايرانشناسی مجلس شورای اسلامی,تهران,تهران,تهران - ضلع جنوب شرقي ميدان بهارستان - کتابخانه مجلس شوراي اسلامي.,33130911-021 ( داخلی  ),http://ical.ir
کتابخانه بازار (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- میدان امام خمینی(ره)- خیابان امیر کبیر - بعد از ناصر خسرو- ناظم الاطبای جنوبی- کوچه حشمتی- کوی کمالی- پلاک ۲۰- خانه موزه بازار.,33112824-021 ( داخلی  ),http://tlib.ir
كتابخانه بنياد دايرة المعارف اسلامی,تهران,تهران,تهران- خیابان فلسطین شمالی- بالای كتاب مرجع- شماره130,88969290-88967871-88978052-88966703-021 ( داخلی  ),http://lib.rch.ac.ir
کتابخانه بهاران(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - ميدان ابوذر- انتهاي سجادجنوبي- ميدان بهاران- خيابان رادمردان- فرهنگسراي بهاران.,66218568-021 ( داخلی  ),http://tlib.ir
کتابخانه پامچال(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان يافت آباد - شهرك ولي عصر عج- انتهاي حيدري جنوبي- خيابان پژاند,33878283-021 ( داخلی  ),http://tlib.ir
کتابخانه پرتو (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - شهرك راه‌آهن - بلوارگلها - بالاتراز ميدان اتريش - بوستان نسترن - كتابخانه پرتو.,44763299-021 ( داخلی  ),http://tlib.ir
کتابخانه پرديس 2 دانشکده‌های فنی دانشگاه تهران,تهران,تهران,تهران- خيابان کارگر شمالي- بعد از بزرگراه جلال آل احمد- پرديس2 دانشکده های فني.,82089801-021 ( داخلی  ),http://eng.ut.ac.ir
كتابخانه پردیس علوم دانشگاه تهران,تهران,تهران,تهران – خیابان انقلاب – پردیس مركزی دانشگاه تهران – پردیس علوم .,61112616-66495290-021 ( داخلی  ),http://Science.ut.ac.ir/sclib
کتابخانه پردیس هنرهای زیبا دانشگاه تهران,تهران,تهران,تهران - خیابان انقلاب - دانشگاه تهران- دانشکده هنرهای زیبا.,61113246-61112755 021-66499680 021-021 ( داخلی 3246-2755 ),http://dlib.ut.ac.ir
کتابخانه پژوهشگاه دانشهای بنیادی,تهران,تهران,فرمانیه- ابتدای پاسداران -کوهستان نهم (نوریان)- خیابان شعله- خیابان یاسمن غربی-خیابان آذرمینا- بن بست مهران- پلاک 7- مرکز تحقیقات فیزیک نظری و ریاضیات- واحد کتابخانه,22291812-021 ( داخلی 4135 ),https://library.ipm.ac.ir
كتابخانه پژوهشگاه علوم و فناوری رنگ,تهران,تهران,تهران - بزرگراه صيادشيرازي(به سمت شمال) - خروجي لويزان - ميدان حسين‌آباد - خيابان وفامنش - نبش كوچه شمس - پلاك 55 (59قديم).,22946834-021 ( داخلی  ),http://icrc.ac.ir
كتابخانه پژوهشگاه نیرو,تهران,تهران,تهران - شهرك قدس - انتهاي بلوار شهيد دادمان - پژوهشگاه نیرو .,9-88079401-021 ( داخلی  ),http://nri.ac.ir
کتابخانه پژوهشکده بیمه,تهران,تهران,تهران، سعادت آباد، میدان شهید حسن تهرانی مقدم (کاج سابق)، سرو غربی، بعد از مخابرات سلمان فارسی، پلاک 43,021-22092265 ( داخلی 120 ),https://lib.irc.ac.ir/
کتابخانه پندار(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- دهکده المپیک- شهرک راه آهن- انتهای بلوار امیر کبیر-  پشت دبیرستان دخترانه هداوند- جنب مسجد چهارده معصوم(ع)- پلاک ۴،,44729091-021 ( داخلی  ),http://tlib.ir
کتابخانه تخصصی انقلاب اسلامی و دفاع مقدس,تهران,تهران,میدان ونک –بزرگراه شهید حقانی- خیابان سرو- جنب مترو حقانی- موزه ملی انقلاب اسلامی و دفاع مقدس- کتابخانه,02188657020 ( داخلی 671 - 672 - 673 ),http://Http://Lib.iranhdm.ir
کتابخانه تخصصی حقوقی آموزش و تحقیقات دادگستری کل استان تهران باقرالعلوم (ع),تهران,تهران,تهران -  پل کریمخان زند -  خیابان سنایی - نبش کوچه هفدهم - پلاک .140,88326702-021 ( داخلی 2232 ),http://Dadgostary-tehran.ir
كتابخانه تخصصی قرآنی سازمان دارالقرآن الكریم,تهران,تهران,تهران- ميدان امام حسين (ع)- خيابان خواجه نصيرالدين طوسى - شماره 85 - سازمان دارالقرآن‌الكريم.,77600915 ( داخلی  ),http://
کتابخانه ترنج (ابیانه) (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - اتوبان شهید محلاتی - تقاطع بلوار ابوذر - خانه فرهنگ ابوذر - کتابخانه ترنج .,33834759-021 ( داخلی  ),http://tlib.ir
کتابخانه تلاش (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - محله خاني‌آبادنو - بلوار ميلاد - خيابان شهرداری - جنب بوستان ۲۲ بهمن - خانه فرهنگ تلاش.,55511125-021 ( داخلی  ),http://tlib.ir
کتابخانه جهان‌آرا (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان سيد جمال الدين اسدآبادی - خيابان ۵۹ غربی جهان آرا.,88602358-021 ( داخلی  ),http://tlib.ir
کتابخانه حزین لاهیجی(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهرانسر- بلوار گلها- جنب كوچه۱4- خانه فرهنگ تهرانسر- طبقه دوم- کتابخانه حزین لاهیجی,۴۴۵۳۴۰۵۵-021 ( داخلی  ),http://tlib.ir
کتابخانه حسینیه هدایت(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان ري- بالاتر از ميدان قيام- كوچه شهيد رقيب دوست- حسينيه هدايت.,33134154-021 ( داخلی  ),http://tlib.ir
کتابخانه حکیمیه(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - تهرانپارس- شهرك حكيميه- فاز یک- بلوار نور- بوستان نور.,77305428-021 ( داخلی  ),http://tlib.ir
کتابخانه خاوران(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,"تهران- خيابان خاوران-  نرسيده به هاشم آباد- فرهنگسراي
خاوران",33717285-021 ( داخلی  ),http://tlib.ir
کتابخانه 15 خرداد (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - شاد آباد - ميدان الغدير - ميدان جانبازان - مجموعه مختار سليماني.,66784614-021 ( داخلی  ),http://tlib.ir
کتابخانه خواجوی کرمانی(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان شوش- ميدان شهيد هرندي- بوستان خواجوي كرماني- مجموعه فرهنگي خواجوي‌كرماني.,55890778-021 ( داخلی  ),http://tlib.ir
کتابخانه دانشگاه بین المللی مذاهب اسلامی,تهران,تهران,خ انقلاب اسلامی – خ ابوریحان – خ روانمهر – پلاک 3,66465252 ( داخلی 511-512 ),http://www.mazaheb.ac.ir
كتابخانه دانشكده ادبيات دانشگاه تهران,تهران,تهران,تهران - خيابان انقلاب اسلامى - دانشگاه تهران.,61112595-021 ( داخلی  ),http://literature.ut.ac.ir/library
کتابخانه دانشکده اقتصاد دانشگاه تهران,تهران,تهران,تهران - خیابان کارگر شمالی-مقابل بیمارستان شریعتی-دانشکده اقتصاد دانشگاه تهران.,88634001-021 ( داخلی  ),http://economics.ut.ac.ir
کتابخانه دانشکده الهیات و معارف اسلامی دانشگاه تهران,تهران,تهران,تهران - خیابان شهید مطهری - نبش خیابان شهید مفتح - دانشکده الهیات و معارف اسلامی پلاک 47.,88742477 ( داخلی  ),http://ftis.ut.ac.ir
کتابخانه دانشکده تحصیلات تکمیلی محیط زیست دانشگاه تهران,تهران,تهران,تهران- خیابان انقلاب- خیابان قدس، دانشکده تحصیلات تکمیلی محیط زیست.,61113170-61113169 ( داخلی  ),http://env.ut.ac.ir/library
کتابخانه دانشکده تربیت بدنی و علوم ورزشی دانشگاه تهران,تهران,تهران,تهران - ميدان انقلاب اسلامی - خيابان كارگر شمالي.,88351730-37  ( داخلی  ),http://sport.ut.ac.ir/officedeptsread.asp?officedeptsID=11
کتابخانه دانشکده جغرافیای دانشگاه تهران,تهران,تهران,تهران - میدان انقلاب اسلامی - خیابان قدس - کوچه آذین - داشکده جغرافیای دانشگاه تهران - ساختمات شماره 2 - طبقه همکف.,61113367-021 ( داخلی  ),http://geography.ut.ac.ir/fa/12/8
كتابخانه دانشكده حقوق و علوم سیاسی دانشگاه تهران,تهران,تهران,تهران - خیابان 16 آذر - درب غربی دانشگاه تهران - دانشكده حقوق و علوم سیاسی – طبقه همكف.,66494989-021 ( داخلی  ),http://lawpol.ut.ac.ir
کتابخانه دانشکده دامپزشکی دانشگاه تهران,تهران,تهران,تهران-خيابان آزادي-نبش خيابان دکتر قريب-دانشکده دامپزشکي دانشگاه تهران,61117000 ( داخلی  ),http://vetmed.ut.ac.ir
کتابخانه دانشکده روانشناسی و علوم تربیتی دانشگاه تهران,تهران,تهران,تهران- بزرگراه شهید دکتر چمران- خیابان جلال آل احمد- رو به روی کوی نصر - خیابان دکتر کاردان.,70-5 و 88240161-88250062 ( داخلی  ),http://psyedu.ut.ac.ir
كتابخانه دانشکده زبانها و ادبیات خارجی دانشگاه تهران,تهران,تهران,تهران - خیابان کارگر شمالی - دانشگاه تهران.,88025001-61119200 ( داخلی  ),http://ffll.ut.ac.ir/Moavenat_Library_User.asp
کتابخانه دانشکده علوم اجتماعی دانشگاه تهران,تهران,تهران,تهران- بزرگراه جلال آل احمد‏- جنب بيمارستان شريعتي- دانشکده علوم اجتماعی دانشگاه تهران -طبقه همکف.,88000146-61117931 ( داخلی  ),http://social.ut.ac.ir/departments/dep/Library
کتابخانه دانشکده مدیریت دانشگاه تهران,تهران,تهران,تهران - کارگر شمالی - جنب پل نصر (گیشا) - دانشکده مدیریت دانشگاه تهران.,88003575-88000245 ( داخلی  ),http://management.ut.ac.ir/?part=menu&inc=menu&id=333
کتابخانه دانشکده مطالعات جهان دانشگاه تهران,تهران,تهران,تهران – خیابان کارگر شمالی – پردیس شمالی دانشگاه تهران – ورودی غربی (دانشکده تربیت بدنی) – دانشکده مطالعات جهان.,61119290 ( داخلی  ),http://fws.ut.ac.ir/rtl/Default4.aspx?LanId=1
کتابخانه دانشکده کارآفرینی دانشگاه تهران,تهران,تهران,تهران- خیابان کارگر شمالی- خیابان شهید فرشی مقدم (شانزدهم).,61119237 ( داخلی  ),http://ent.ut.ac.ir/index.aspx
کتابخانه داوودیه(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- خیابان دکتر شریعتی- بلوار میرداماد- خیابان امیرسهیل تبریزیان- نبش کوچه بهبهانی- پلاک ۱۱.,22906363-021 ( داخلی  ),http://tlib.ir
کتابخانه دردار (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان هفده شهريور - بين ايستگاه دروازه دولاب و آهنگ - خيابان شهيد دولو - كوچه سرخوش - كوچه اعتماد - خانه فرهگ دردار.,33551538-021 ( داخلی  ),http://tlib.ir
کتابخانه دکتر حسابی(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- خيابان ابوذر- خيابان شهيدعلمي- كوچة دكترحسابي.,55717978-021 ( داخلی  ),http://tlib.ir
کتابخانه دکتر شهیدی(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهارن- نارمك- چهارراه تلفنخانه- خيابان۴۶ متري غربي- خیابان شهید بختیاری (سامان) - ميدان ۵۸ - كوچه يكم شرقي.,77913098-021 ( داخلی  ),http://tlib.ir
کتابخانه دکتر عظیمی(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان دکتر شريعتي- نرسيده به ميدان قدس- كوچه مهنا۱- پلاک ۴.,22714940-021 ( داخلی  ),http://tlib.ir
کتابخانه دکتر معتمدنژاد (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - پاسداران - خیابان گل نبی - خیابان ناطق نوری - میدان قبا - فرهنگسرای رسانه (پایداری).,22888680-021 ( داخلی  ),http://tlib.ir
کتابخانه رازی(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- خيابان كارگر جنوبي-  ميدان رازي-  بوستان رازي- فرهنگسرای رازی.,55423352-021 ( داخلی  ),http://tlib.ir
کتابخانه سرو (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان وليعصر (عج) - ضلع شمالي پارك ساعي، - كوچه ساعي۲ - فرهنگسراي سرو.,88786277-021 ( داخلی  ),http://tlib.ir
کتابخانه سعادت(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- سعادت آباد- بالاتر از میدان کاج- خیابان دوم- عبقری-  بوستان شقایق.,22116760-021 ( داخلی  ),http://tlib.ir
کتابخانه سلام (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - نارمك - خيابان گلبرگ شرقي(جانبازان) - بعداز چهارراه دردشت - كوچه شهيد اكبري- خانه فرهنگ سلام.,77916080-021 ( داخلی  ),http://tlib.ir
کتابخانه سیدالشهداء علیه السلام (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - شهرك اساتيد دانشگاه صنعتي شريف.,44990772-021 ( داخلی  ),http://tlib.ir
کتابخانه شفق(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- خیابان سید جمال الدین اسد آبادی- خیابان ۲۱- بوستان شفق.,88706869-021 ( داخلی  ),http://tlib.ir
کتابخانه شماره دو کانون اسلامی انصار,تهران,تهران,تهران - خیابان  کارگر شمالی -  خیابان گردآفرید- پلاک 2,1-66944370-021 ( داخلی  ),http://kanoon-ansar.ir
کتابخانه شهدای حصارک (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - جنت آباد شمالی - بلوار سیمون بولیوار - نبش ایرانشهر شمالی - کتابخانه شهدای حصارک.,44832747-021 ( داخلی  ),http://tlib.ir
کتابخانه شهر (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - انتهاي بزرگراه رسالت غرب - سه راه دهكده المپيك - جنب دبيرستان سپيده كاشاني - خيابان ساحل - فرهنگسراي تهران.,44137060-021 ( داخلی  ),http://tlib.ir
کتابخانه شهید بخارایی (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - فلكه چهارم خزانه - نبش خيابان جمشيد سيد - مجتمع فرهنگي هنري فجر.,55311575-021 ( داخلی  ),http://tlib.ir
کتابخانه شهيد فهميده (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - ميدان بهمن - خيابان دشت آزادگان - فرهنگسراي بهمن.,55058437-021 ( داخلی  ),http://tlib.ir
کتابخانه شهید قدیریان (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان كارگر جنوبي - ضلع شمال شرقي ميدان حر - خانه فرهنگ حر.,66409523-021 ( داخلی  ),http://tlib.ir
کتابخانه شهید مفتح کوی دانشگاه تهران,تهران,تهران,تهران- خیابان کارگر شمالی- روبروی خیابان پانزدهم - کوی دانشگاه تهران.,82095500 ( داخلی  ),http://
کتابخانه شهید کاشانی(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- خیابان مصطفی خمینی- کوچه سجادی- بن بست شام بیاتی- پلاک ۳۰,33530686-021 ( داخلی  ),http://tlib.ir
کتابخانه شهیدان جعفری نژاد(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران- ميدان خراسان- خيابان خاوران- انتهاي خيابان هاشم‌آباد.,33687923-021 ( داخلی  ),http://tlib.ir
کتابخانه شیخ اشراق (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - فلكه دوم تهران پارس - انتهاي خيابان جشنواره - فرهنگسراي اشراق.,77359222-021 ( داخلی  ),http://tlib.ir
کتابخانه شیخ صدوق(کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,شهرري-  فكه اول دولت آباد- روبروي ميدان بروجردي- جنب پارك مهران،-كتابخانه شيخ صدوق (ره),33754041-021 ( داخلی  ),http://tlib.ir
کتابخانه شیخ فضل الله (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - بلوار آيت ا... كاشاني- بعد از تقاطع شهید ستاری- جنب شهر كتاب نور ( روبروي بانك مسكن) - مجتمع فرهنگی هنری نور- طبقه همکف .,44066751-021 ( داخلی  ),http://tlib.ir
